eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1990,4649770.44,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1991,4320714.824,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1992,4214004.125,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1993,4304232.584,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1994,4190637.451,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1995,4141954.032,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1996,4159783.149,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1997,4208292.61,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1998,4194673.29,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1999,4057795,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2000,3820496.515,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2001,3652461.479,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2002,3427826.28,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2003,3486374.25,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2004,3492436.351,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2005,3052044.425,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2006,3138341.494,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2007,4194207.226,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2008,4057795,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2009,3742770.651,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2010,3820496.515,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2011,3718549.581,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2012,3652461.479,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2013,3553809.421,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2014,3427826.28,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2015,3486016.866,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2016,3486374.25,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2017,3579005.463,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2018,3492436.351,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2019,3343420.536,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2020,3052044.425,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2021,3220178.729,
